created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2025-08-02T10:00:47+00:00,1,0,2025-08-02 16:00:45,CLOSE,,,,
2025-08-02T10:01:04+00:00,2,0,2025-08-02 16:01:02,CLOSE,,,,
2025-08-02T10:01:21+00:00,3,1,2025-08-02 16:01:19,OPEN,,,,
2025-08-02T10:01:37+00:00,4,0,2025-08-02 16:01:35,CLOSE,,,,
2025-08-02T10:01:54+00:00,5,1,2025-08-02 16:01:51,OPEN,,,,
2025-08-02T10:02:15+00:00,6,1,2025-08-02 16:02:12,OPEN,,,,
2025-08-02T10:11:14+00:00,7,0,15616,Box Closed,,,,
2025-08-02T10:11:31+00:00,8,0,32295,Box Closed,,,,
2025-08-02T10:11:47+00:00,9,1,48885,Box Open,,,,
2025-08-02T10:12:23+00:00,10,0,15118,Box Closed,,,,
2025-08-02T10:12:39+00:00,11,0,31722,Box Closed,,,,
2025-08-02T10:12:56+00:00,12,0,48413,Box Closed,,,,
2025-08-02T10:13:12+00:00,13,0,65002,Box Closed,,,,
2025-08-02T10:13:29+00:00,14,0,81592,Box Closed,,,,
2025-08-02T10:13:46+00:00,15,0,98181,Box Closed,,,,
2025-08-02T10:14:02+00:00,16,0,114770,Box Closed,,,,
2025-08-02T10:14:19+00:00,17,0,131461,Box Closed,,,,
2025-08-02T10:14:35+00:00,18,0,148051,Box Closed,,,,
2025-08-02T10:14:52+00:00,19,0,164640,Box Closed,,,,
2025-08-02T10:15:09+00:00,20,0,181232,Box Closed,,,,
2025-08-02T10:15:26+00:00,21,0,198127,Box Closed,,,,
2025-08-02T10:15:43+00:00,22,0,214920,Box Closed,,,,
2025-08-02T10:16:00+00:00,23,0,231815,Box Closed,,,,
2025-08-02T10:16:16+00:00,24,0,248814,Box Closed,,,,
2025-08-02T10:16:33+00:00,25,0,265608,Box Closed,,,,
2025-08-02T10:16:50+00:00,26,0,282403,Box Closed,,,,
2025-08-02T10:17:07+00:00,27,0,299196,Box Closed,,,,
2025-08-02T10:17:24+00:00,28,0,316093,Box Closed,,,,
2025-08-02T10:17:40+00:00,29,0,332897,Box Closed,,,,
2025-08-02T10:17:57+00:00,30,0,349680,Box Closed,,,,
2025-08-02T10:18:14+00:00,31,0,366477,Box Closed,,,,
2025-08-02T10:18:31+00:00,32,0,383372,Box Closed,,,,
2025-08-02T10:18:47+00:00,33,0,400066,Box Closed,,,,
2025-08-02T10:19:04+00:00,34,0,416685,Box Closed,,,,
2025-08-02T10:19:21+00:00,35,0,433342,Box Closed,,,,
2025-08-02T10:19:37+00:00,36,0,449936,Box Closed,,,,
2025-08-02T10:19:54+00:00,37,0,466629,Box Closed,,,,
2025-08-02T10:20:11+00:00,38,0,483216,Box Closed,,,,
2025-08-02T10:20:27+00:00,39,0,499807,Box Closed,,,,
2025-08-02T10:20:44+00:00,40,0,516501,Box Closed,,,,
2025-08-02T10:21:01+00:00,41,0,533394,Box Closed,,,,
